primary_id,time_period,prod_type,capex,opex,total_usd,production
0,17,coal,0,72.9005755,72.9005755,6.55744509
0,17,coal_ccs,0,0,0,0
0,17,gas,235.7989095,3524.887599,3760.686508,330.3166364
0,17,gas_ccs,0,0,0,0
0,17,geothermal,0,0,0,0
0,17,hydrogen_electrolysis,0,0,0,0
0,17,hydrogen_gasification,0,210.55136,210.55136,0
0,17,hydrogen_reformation,0,93.85928407,93.85928407,0
0,17,hydrogen_reformation_ccs,0,21.61227136,21.61227136,0
0,17,hydropower,0,8.882743301,8.882743301,3.49449603
0,17,natural_gas_liquefaction,0,6713.836135,6713.836135,0
0,17,nuclear,0,205.4666174,205.4666174,62.32442363
0,17,ocean,0,0,0,0
0,17,oil,0,64.71635907,64.71635907,5.918635088
0,17,solar,0,11.02324385,11.02324385,2.180007013
0,17,waste_incineration,0.890091492,3579.541493,3580.431584,0.402520047
0,17,wind,0,0,0,0
0,18,ammonia_production,0,80.15818693,80.15818693,0
0,18,biogas,0.001322111,0.032479367,0.033801478,0.001386179
0,18,biomass,15.56727457,149.0252104,164.5924849,14.4972249
0,18,coal,0,42.60061245,42.60061245,6.598435091
0,18,coal_ccs,0,0,0,0
0,18,gas,1034.993948,3523.323522,4558.31747,332.3814161
0,18,gas_ccs,0,0,0,0
0,18,geothermal,0,0,0,0
0,18,hydrogen_electrolysis,0,0,0,0
0,18,hydrogen_gasification,0,210.55136,210.55136,0
0,18,hydrogen_reformation,0,93.85928407,93.85928407,0
0,18,hydrogen_reformation_ccs,0,21.61227136,21.61227136,0
0,18,hydropower,0,8.721089203,8.721089203,3.516339811
0,18,natural_gas_liquefaction,0,6713.836135,6713.836135,0
0,18,nuclear,0,206.1503449,206.1503449,62.71400801
0,18,ocean,0,0,0,0
0,18,oil,268.0068728,57.54644134,325.5533141,5.955631945
0,18,solar,0,10.77147261,10.77147261,2.193637106
0,18,waste_incineration,0.906343746,3635.366735,3636.273079,0.408797605
0,18,wind,0,0,0,0
0,19,ammonia_production,0,80.15818693,80.15818693,0
0,19,biogas,0.001330257,0.03346481,0.034795067,0.001399999
0,19,biomass,15.99211612,149.4223584,165.4144745,14.591903
0,19,coal,0,42.93042418,42.93042418,6.641527979
0,19,coal_ccs,0,0,0,0
0,19,gas,138.0358043,3499.964318,3638.000123,334.552124
0,19,gas_ccs,0,0,0,0
0,19,geothermal,0,0,0,0
0,19,hydrogen_electrolysis,0,0,0,0
0,19,hydrogen_gasification,0,210.55136,210.55136,0
0,19,hydrogen_reformation,0,93.85928407,93.85928407,0
0,19,hydrogen_reformation_ccs,0,21.61227136,21.61227136,0
0,19,hydropower,0,8.563784109,8.563784109,3.539304232
0,19,natural_gas_liquefaction,0,6713.836135,6713.836135,0
0,19,nuclear,0,206.8043876,206.8043876,63.12357902
0,19,ocean,0,0,0,0
0,19,oil,2.062628147,58.56711895,60.6297471,5.994526831
0,19,solar,0,10.52545183,10.52545183,2.20779288
0,19,waste_incineration,0.924797033,3692.328587,3693.253384,0.415202975
0,19,wind,0,0,0,0
0,20,ammonia_production,0,80.15818693,80.15818693,0
0,20,biogas,0.001340068,0.034994211,0.036334279,0.001413922
0,20,biomass,396.2668169,149.8765526,546.1433694,14.69160767
0,20,coal,0,43.28822053,43.28822053,6.68690872
0,20,coal_ccs,0,0,0,0
0,20,gas,146.2682627,3477.783739,3624.052002,336.8380774
0,20,gas_ccs,0,0,0,0
0,20,geothermal,0,0,0,0
0,20,hydrogen_electrolysis,0,0,0,0
0,20,hydrogen_gasification,0,210.55136,210.55136,0
0,20,hydrogen_reformation,0,93.85928407,93.85928407,0
0,20,hydrogen_reformation_ccs,0,21.61227136,21.61227136,0
0,20,hydropower,0,8.410779042,8.410779042,3.56348786
0,20,natural_gas_liquefaction,0,6713.836135,6713.836135,0
0,20,nuclear,0,207.551441,207.551441,63.55489464
0,20,ocean,0,0,0,0
0,20,oil,1.907965352,59.7074868,61.61545215,6.035486693
0,20,solar,0,10.28505018,10.28505018,2.222513384
0,20,waste_incineration,0.944828891,3750.524279,3751.469108,0.42174709
0,20,wind,0,0,0,0
0,21,ammonia_production,0,97.84013993,97.84013993,0
0,21,biogas,0.001352014,0.035378415,0.036730429,0.001427969
0,21,biomass,125.6230999,157.2393006,282.8624004,15.47050779
0,21,coal,0,45.10078982,45.10078982,7.041426356
0,21,coal_ccs,0,0,0,0
0,21,gas,1607.019977,3598.880757,5205.900733,354.6961107
0,21,gas_ccs,0,0,0,0
0,21,geothermal,0,0,0,0
0,21,hydrogen_electrolysis,0,0,0,0
0,21,hydrogen_gasification,0,253.8026248,253.8026248,0
0,21,hydrogen_reformation,0,93.85928407,93.85928407,0
0,21,hydrogen_reformation_ccs,0,26.05184407,26.05184407,0
0,21,hydropower,0,8.328304105,8.328304105,3.752412122
0,21,natural_gas_liquefaction,0,7427.567829,7427.567829,0
0,21,nuclear,3577.328767,216.151571,3793.480338,66.92436355
0,21,ocean,0,0,0,0
0,21,oil,14.90516369,63.09744487,78.00260856,6.355468102
