primary_id,region,time_period,rail_elec_consumption_PJ,switched_to_rail_elec_PJ,rail_fuel_switch_cost_$,rail_fuel_switch_saving_$,rail_fuel_switch_net_cost_$
71071,louisiana,8,0.0953817588189898,0.005198352495599801,2195784.0941413557,12360.174712312602,2183423.9194290433
71071,louisiana,9,0.0984507025452463,0.00826729622185629,3492105.9241120974,19657.23289966992,3472448.6912124273
71071,louisiana,10,0.101790251550783,0.011606845227392998,4902731.424050802,27597.711965624603,4875133.712085178
71071,louisiana,11,0.10536621684456,0.015182810521170001,6413219.164142208,36100.320404291124,6377118.843737917
71071,louisiana,12,0.109163448230465,0.018980041907075,8017169.70154848,45129.0354428713,7972040.666105609
71071,louisiana,13,0.1398159608308271,0.04963255450743709,20964791.023941427,118011.82117787824,20846779.20276355
71071,louisiana,14,0.17198399623757898,0.08180058991418898,34552569.17975342,194498.08064486628,34358071.099108554
71071,louisiana,15,0.2056887046978905,0.11550529837450049,48789438.03338901,274638.1029980336,48514799.93039098
71071,louisiana,16,0.240957726708031,0.150774320384641,63687072.93047236,358497.6093217648,63328575.32115059
71071,louisiana,17,0.277834350903691,0.18765094458030102,79263758.99071915,446179.52743802755,78817579.46328112
71071,louisiana,18,0.31636831129713705,0.22618490497374705,95540503.86091076,537802.1104051281,95002701.75050563
71071,louisiana,19,0.35662082901422,0.26643742269083,112543167.34460658,633510.9243062134,111909656.42030036
71071,louisiana,20,0.39865167660517103,0.30846827028178103,130296997.3670243,733448.0909316936,129563549.2760926
71071,louisiana,21,0.44252913402890703,0.35234572770551703,148830835.38281038,837775.9602226849,147993059.4225877
71071,louisiana,22,0.488327005088942,0.398143598765552,168175856.11856917,946670.0162208406,167229186.10234833
71071,louisiana,23,0.536117957268581,0.445934550945191,188362754.31924868,1060303.04112789,187302451.2781208
71071,louisiana,24,0.585971296206782,0.495787889883392,209420804.68674478,1178839.82365464,208241964.86309013
71071,louisiana,25,0.6379538456995699,0.54777043937618,231378233.59249842,1302439.251409137,230075794.34108928
71071,louisiana,26,0.692128436152299,0.6019450298289091,254261580.5997312,1431250.7168744954,252830329.8828567
71071,louisiana,27,0.748563857237843,0.6583804509144531,278099902.46626496,1565437.7819438041,276534464.68432117
71071,louisiana,28,0.807318333700882,0.7171349273774921,302917793.32425267,1705138.8881747366,301212654.43607795
71071,louisiana,29,0.868442333174535,0.7782589268511451,328736570.70192367,1850474.032963236,326886096.66896045
71071,louisiana,30,0.9319741910131439,0.8417907846897539,355572427.452952,2001534.3666646746,353570893.0862874
71071,louisiana,31,0.99794473873366,0.90776133241027,383438386.81009805,2158393.197685223,381279993.6124128
71071,louisiana,32,1.066406842433092,0.976223436109702,412356779.4127381,2321176.2262723995,410035603.1864657
71071,louisiana,33,1.137385641510038,1.0472022351866481,442338224.14284015,2489943.226625645,439848280.9162145
71071,louisiana,34,1.210912894974621,1.1207294886512311,473396136.00628,2664769.712460919,470731366.29381907
71071,louisiana,35,1.286997685831233,1.1968142795078431,505534351.6641129,2845677.280528594,502688674.3835843
